X,Y,Z,R
533436.09,4840345.67,152.3,1600.0
533436.27,4840345.55,152.29,1550.0
533436.12,4840345.08,152.14,1700.0
533436.29,4840344.83,152.02,1350.0
533436.39,4840345.17,152.13,1450.0
533436.85,4840345.44,152.2,1560.0
533437.17,4840344.91,152.02,1050.0
533437.29,4840345.1,152.14,1300.0
533437.56,4840344.84,151.95,1040.0
533437.63,4840345.09,152.15,1350.0
533435.6,4840337.89,152.56,490.0
533435.44,4840337.91,152.44,410.0
533435.89,4840337.99,152.39,520.0
533435.16,4840337.88,152.47,400.0
533434.91,4840337.98,152.4,400.0
533434.88,4840338.06,152.27,450.0
533434.68,4840338.02,152.28,410.0
533434.67,4840338.19,152.16,540.0
533434.61,4840338.2,151.97,840.0
533435.16,4840338.1,152.29,500.0
533435.28,4840338.18,152.23,640.0
533435.49,4840338.3,152.16,750.0
533435.27,4840338.26,151.97,990.0
533435.39,4840338.36,151.79,1210.0
533435.15,4840338.24,152.06,990.0
533435.05,4840338.23,152.03,980.0
533434.91,4840338.26,152.02,700.0
533435.57,4840338.41,151.97,830.0
533435.4,4840338.38,151.67,1000.0
533435.2,4840338.29,151.88,900.0
533435.26,4840338.3,151.83,930.0
533435.25,4840338.32,151.75,930.0
533435.85,4840338.52,151.78,1200.0
533435.77,4840338.54,151.61,1170.0
533435.31,4840338.37,151.56,890.0
533435.53,4840338.47,151.48,1580.0
533435.63,4840338.65,151.31,1220.0
533435.34,4840338.41,151.36,1470.0
533434.51,4840337.87,152.33,550.0
533434.55,4840337.64,152.23,400.0
533434.47,4840337.65,152.16,790.0
533434.49,4840338.03,152.19,780.0
533434.45,4840337.88,152.02,1210.0
533434.46,4840338.02,152.07,1200.0
533434.46,4840337.62,152.06,790.0
533434.46,4840337.22,151.89,1460.0
533434.46,4840337.45,151.93,1000.0
533434.46,4840337.56,151.97,900.0
533434.41,4840337.65,151.92,1130.0
533434.41,4840336.92,151.82,1240.0
533435.16,4840338.09,151.76,900.0
533435.2,4840338.0,151.67,1050.0
533435.19,4840338.14,151.58,850.0
533435.21,4840338.26,151.31,800.0
533435.27,4840337.76,151.38,900.0
533435.15,4840337.46,151.59,1440.0
533435.29,4840337.5,151.27,1010.0
533435.58,4840338.11,150.82,350.0
533435.33,4840337.26,150.74,540.0
533434.15,4840336.82,151.64,1760.0
533432.6,4840334.18,151.77,880.0
533432.56,4840333.93,151.69,1100.0
533432.57,4840333.61,151.94,730.0
533432.48,4840333.44,152.03,730.0
533432.49,4840333.24,151.86,1050.0
533432.43,4840332.94,151.9,880.0
533432.4,4840332.63,151.88,680.0
533432.36,4840332.56,151.74,1110.0
533432.37,4840332.71,151.48,670.0
533432.4,4840333.04,151.63,1090.0
533432.47,4840333.36,151.7,1120.0
533432.51,4840333.62,151.71,1450.0
533432.55,4840333.76,151.52,1040.0
533432.93,4840334.4,151.33,1380.0
533433.48,4840334.6,151.04,600.0
533432.72,4840334.06,151.34,1230.0
533433.47,4840334.31,150.82,910.0
533432.69,4840333.5,151.26,590.0
533432.79,4840333.74,151.21,760.0
533432.72,4840333.54,151.11,420.0
533432.7,4840333.11,151.28,750.0
533432.73,4840333.15,151.1,520.0
533432.74,4840333.09,150.98,420.0
533433.48,4840333.33,150.58,300.0
533433.31,4840334.27,150.25,330.0
533433.49,4840334.06,150.47,360.0
533433.39,4840333.53,150.43,410.0
533433.21,4840332.91,150.56,230.0
533432.98,4840332.36,150.57,470.0
533433.36,4840333.93,150.2,340.0
533432.39,4840332.48,151.15,420.0
533432.37,4840331.83,151.86,990.0
533432.4,4840331.56,151.89,550.0
533432.42,4840331.6,151.75,860.0
533432.36,4840332.0,151.72,910.0
533432.38,4840331.93,151.58,830.0
