X,Y,Z,R
533433.38,4840332.29,152.52,530.0
533432.43,4840332.14,152.48,300.0
533433.4,4840332.7,152.51,430.0
533432.91,4840332.6,152.49,340.0
533432.98,4840333.23,152.53,320.0
533432.49,4840332.63,152.52,300.0
533432.52,4840333.18,152.57,290.0
533432.55,4840333.82,152.54,330.0
533432.61,4840334.49,152.52,280.0
533432.92,4840333.8,152.54,300.0
533433.31,4840334.34,152.55,330.0
533433.54,4840333.37,152.54,480.0
533433.64,4840333.97,152.55,360.0
533432.91,4840334.66,152.42,320.0
533433.26,4840335.11,152.36,260.0
533433.6,4840335.26,152.38,330.0
533432.75,4840335.19,152.4,260.0
533433.25,4840334.53,152.54,450.0
533434.0,4840335.47,152.57,320.0
533433.96,4840336.47,152.56,290.0
533433.99,4840336.26,152.61,290.0
533434.42,4840336.46,152.63,315.0
533434.69,4840336.31,152.67,370.0
533435.23,4840336.42,152.63,370.0
533435.79,4840336.32,152.6,460.0
533434.83,4840335.52,152.55,610.0
533433.97,4840334.61,152.56,750.0
533434.69,4840334.86,152.66,460.0
533435.02,4840337.44,152.55,300.0
533434.81,4840337.71,152.46,300.0
533434.86,4840337.19,152.6,340.0
533435.39,4840337.69,152.61,380.0
533435.73,4840337.5,152.65,400.0
533436.03,4840337.42,152.65,400.0
533436.41,4840337.39,152.63,550.0
533436.8,4840337.63,152.63,740.0
533436.34,4840337.95,152.47,600.0
533435.92,4840337.99,152.4,570.0
533435.72,4840338.04,152.39,530.0
533437.01,4840338.02,152.33,580.0
533436.23,4840338.27,152.19,780.0
533436.63,4840338.35,152.23,460.0
533436.14,4840338.45,151.97,1250.0
533436.66,4840338.64,151.97,880.0
533436.05,4840338.57,151.85,1180.0
533435.48,4840338.59,151.28,1590.0
533435.55,4840338.32,152.17,1370.0
533435.72,4840338.27,152.21,760.0
